Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
battle-cry-tee,Battle Cry Tee,"This might be our most hooah shirt we've ever made. Two rifles AND a skull? Yes. Because freedom. This shirt feels soft and lightweight, with the right amount of stretch. It's comfortable and flattering on anyone. <br>
<br>
• 100% combed and ring-spun cotton (Heather colors contain polyester)<br>
• Fabric weight: 4.2 oz<br>
• Pre-shrunk fabric<br>
• Shoulder-to-shoulder taping<br>
• Side-seamed",Project Zero Apparel,,,true,Color,Dark Grey Heather,Size,XS,,,3532927_9564,102.05828325,,deny,printful,24.95,,true,true,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-b8b50a4e.jpg?v=1604551066,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8492c528.jpg?v=1604551067,oz,,,active
battle-cry-tee,,,,,,,,Dark Grey Heather,,S,,,3532927_8460,130.407806375,,deny,printful,24.95,,true,true,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8492c528.jpg?v=1604551067,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8492c528.jpg?v=1604551067,oz,,,
battle-cry-tee,,,,,,,,Dark Grey Heather,,M,,,3532927_8461,141.747615625,,deny,printful,24.95,,true,true,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-9b57def6.jpg?v=1604551068,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8492c528.jpg?v=1604551067,oz,,,
battle-cry-tee,,,,,,,,Dark Grey Heather,,L,,,3532927_8462,164.427234125,,deny,printful,24.95,,true,true,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8ff114fa.jpg?v=1604551070,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8492c528.jpg?v=1604551067,oz,,,
battle-cry-tee,,,,,,,,Dark Grey Heather,,XL,,,3532927_8463,170.09713875,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8492c528.jpg?v=1604551067,oz,,,
battle-cry-tee,,,,,,,,Dark Grey Heather,,2XL,,,3532927_8464,201.2816141875,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8492c528.jpg?v=1604551067,oz,,,
battle-cry-tee,,,,,,,,Army,,S,,,3532927_8440,130.407806375,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-9b57def6.jpg?v=1604551068,oz,,,
battle-cry-tee,,,,,,,,Army,,M,,,3532927_8441,141.747615625,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-9b57def6.jpg?v=1604551068,oz,,,
battle-cry-tee,,,,,,,,Army,,L,,,3532927_8442,164.427234125,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-9b57def6.jpg?v=1604551068,oz,,,
battle-cry-tee,,,,,,,,Army,,XL,,,3532927_8443,170.09713875,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-9b57def6.jpg?v=1604551068,oz,,,
battle-cry-tee,,,,,,,,Army,,2XL,,,3532927_8444,201.2816141875,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-9b57def6.jpg?v=1604551068,oz,,,
battle-cry-tee,,,,,,,,Heather Deep Teal,,S,,,3532927_8481,130.407806375,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8ff114fa.jpg?v=1604551070,oz,,,
battle-cry-tee,,,,,,,,Heather Deep Teal,,M,,,3532927_8482,141.747615625,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8ff114fa.jpg?v=1604551070,oz,,,
battle-cry-tee,,,,,,,,Heather Deep Teal,,L,,,3532927_8483,164.427234125,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8ff114fa.jpg?v=1604551070,oz,,,
battle-cry-tee,,,,,,,,Heather Deep Teal,,XL,,,3532927_8484,170.09713875,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8ff114fa.jpg?v=1604551070,oz,,,
battle-cry-tee,,,,,,,,Heather Deep Teal,,2XL,,,3532927_8485,201.2816141875,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-8ff114fa.jpg?v=1604551070,oz,,,
battle-cry-tee,,,,,,,,Silver,,S,,,3532927_4146,130.407806375,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-b8b50a4e.jpg?v=1604551066,oz,,,
battle-cry-tee,,,,,,,,Silver,,M,,,3532927_4147,141.747615625,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-b8b50a4e.jpg?v=1604551066,oz,,,
battle-cry-tee,,,,,,,,Silver,,L,,,3532927_4148,164.427234125,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-b8b50a4e.jpg?v=1604551066,oz,,,
battle-cry-tee,,,,,,,,Silver,,XL,,,3532927_4149,170.09713875,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-b8b50a4e.jpg?v=1604551066,oz,,,
battle-cry-tee,,,,,,,,Silver,,2XL,,,3532927_4150,201.2816141875,,deny,printful,24.95,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/6275/3953/products/mockup-b8b50a4e.jpg?v=1604551066,oz,,,
